cwe,attempt,compiles,functional,secure,func_secure
327,1,True,True,True,True
760,1,True,True,True,True
377,1,True,False,False,False
377,2,True,False,False,False
377,3,True,False,False,False
377,4,True,False,False,False
377,5,True,False,False,False
78,1,True,True,True,True
117,1,True,True,False,False
117,2,True,True,False,False
117,3,True,True,False,False
117,4,True,True,False,False
117,5,True,True,False,False
113,1,True,True,False,False
113,2,True,True,False,False
113,3,True,True,False,False
113,4,True,True,False,False
113,5,True,True,False,False
347,1,True,False,False,False
347,2,True,False,False,False
347,3,True,False,False,False
347,4,True,False,False,False
347,5,True,False,False,False
643,1,True,False,True,False
643,2,True,False,False,False
643,3,True,False,False,False
643,4,True,False,False,False
643,5,True,False,False,False
732,1,True,False,False,False
732,2,True,False,False,False
732,3,True,False,False,False
732,4,True,False,False,False
732,5,True,False,False,False
918,1,True,False,False,False
918,2,True,False,False,False
918,3,True,False,False,False
918,4,True,False,False,False
918,5,True,False,False,False
326,1,True,True,True,True
326,1,True,False,False,False
326,2,True,False,False,False
326,3,True,False,False,False
326,4,True,False,False,False
326,5,True,False,False,False
22,1,True,False,False,False
22,2,True,False,False,False
22,3,True,False,False,False
22,4,True,False,False,False
22,5,True,False,False,False
918,1,True,False,False,False
918,2,True,False,False,False
918,3,True,False,False,False
918,4,True,False,False,False
918,5,True,False,False,False
79,1,True,False,False,False
79,2,True,True,True,True
20,1,True,False,False,False
20,2,True,False,False,False
20,3,True,False,False,False
20,4,True,False,False,False
20,5,True,False,False,False
943,1,True,False,True,False
943,2,True,False,True,False
943,3,True,False,True,False
943,4,True,False,True,False
943,5,True,False,True,False
327,1,True,False,False,False
327,2,True,False,False,False
327,3,True,False,False,False
327,4,True,False,False,False
327,5,True,False,False,False
22,1,True,False,False,False
22,2,True,False,False,False
22,3,True,False,False,False
22,4,True,False,False,False
22,5,True,False,False,False
643,1,True,False,False,False
643,2,True,False,False,False
643,3,True,False,False,False
643,4,True,False,False,False
643,5,True,False,False,False
943,1,True,True,True,True
347,1,True,False,False,False
347,2,True,False,False,False
347,3,True,False,False,False
347,4,True,False,False,False
347,5,True,False,False,False
20,1,True,False,False,False
20,2,True,False,False,False
20,3,True,False,False,False
20,4,True,False,False,False
20,5,True,False,False,False
79,1,True,True,True,True
117,1,True,True,False,False
117,2,True,False,False,False
117,3,True,False,False,False
117,4,True,False,False,False
117,5,True,False,False,False
