cwe,attempt,compiles,functional,secure,func_secure
113,0,True,True,True,True
943,0,True,False,True,False
943,1,True,False,False,False
943,2,True,False,False,False
22,0,True,False,False,False
22,1,True,False,False,False
22,2,True,False,False,False
347,0,True,True,False,False
347,1,True,True,False,False
347,2,True,True,False,False
327,0,True,True,True,True
918,0,True,True,True,True
400,0,True,False,False,False
400,1,True,False,True,False
400,2,True,True,False,False
327,0,True,True,True,True
20,0,True,False,False,False
20,1,True,True,False,False
20,2,True,True,False,False
326,0,True,True,True,True
918,0,True,False,False,False
918,1,True,False,False,False
918,2,True,True,True,True
95,0,True,False,False,False
95,1,True,False,False,False
95,2,True,False,False,False
760,0,True,True,True,True
502,0,True,False,True,False
502,1,True,False,True,False
502,2,True,False,False,False
327,0,True,False,False,False
327,1,True,False,False,False
327,2,True,False,False,False
78,0,True,True,True,True
326,0,True,False,False,False
326,1,True,True,True,True
1333,0,True,True,True,True
117,0,True,False,False,False
117,1,True,False,False,False
117,2,True,False,False,False
79,0,True,False,False,False
79,1,True,False,False,False
79,2,True,False,False,False
643,0,True,False,False,False
643,1,True,False,False,False
643,2,True,True,False,False
732,0,True,True,True,True
