lang,cwe,attempt,compiles,functional,secure,func_secure
cpp,643,1,False,False,False,False
cpp,643,2,False,False,False,False
cpp,643,3,True,True,True,True
cpp,943,1,False,False,False,False
cpp,943,2,True,False,True,False
cpp,943,3,True,False,True,False
cpp,943,4,True,False,True,False
cpp,943,5,True,False,True,False
cpp,347,1,False,False,False,False
cpp,347,2,True,True,False,False
cpp,347,3,True,True,False,False
cpp,347,4,True,True,False,False
cpp,347,5,True,True,False,False
cpp,20,1,False,False,False,False
cpp,20,2,True,True,True,True
cpp,79,1,True,True,True,True
cpp,117,1,False,False,False,False
cpp,117,2,False,False,False,False
cpp,117,3,False,False,False,False
cpp,117,4,False,False,False,False
cpp,117,5,False,False,False,False
cpp,326,1,True,True,True,True
cpp,918,1,True,False,True,False
cpp,918,2,True,False,True,False
cpp,918,3,True,False,True,False
cpp,918,4,True,False,True,False
cpp,918,5,True,True,True,True
cpp,113,1,False,False,False,False
cpp,113,2,False,False,False,False
cpp,113,3,False,False,False,False
cpp,113,4,False,False,False,False
cpp,113,5,False,False,False,False
cpp,327,1,True,False,False,False
cpp,327,2,True,False,False,False
cpp,327,3,True,False,False,False
cpp,327,4,True,False,False,False
cpp,327,5,True,False,False,False
cpp,22,1,False,False,False,False
cpp,22,2,False,False,False,False
cpp,22,3,False,False,False,False
cpp,22,4,False,False,False,False
cpp,22,5,False,False,False,False
cpp,326,1,True,False,False,False
cpp,326,2,True,True,True,True
cpp,78,1,True,True,True,True
cpp,732,1,True,True,True,True
cpp,760,1,True,True,True,True
cpp,918,1,True,True,True,True
cpp,327,1,True,True,True,True
cpp,400,1,True,True,True,True
cpp,22,1,True,False,False,False
cpp,22,2,True,False,False,False
cpp,22,3,True,True,False,False
cpp,22,4,True,True,False,False
cpp,22,5,True,True,False,False
cpp,1333,1,False,False,False,False
cpp,1333,2,False,False,False,False
cpp,1333,3,False,False,False,False
cpp,1333,4,False,False,False,False
cpp,1333,5,False,False,False,False
cpp,643,1,False,False,False,False
cpp,643,2,False,False,False,False
cpp,643,3,False,False,False,False
cpp,643,4,True,False,True,False
cpp,643,5,True,False,True,False
cpp,943,1,True,True,True,True
cpp,347,1,False,False,False,False
cpp,347,2,False,False,False,False
cpp,347,3,False,False,False,False
cpp,347,4,False,False,False,False
cpp,347,5,False,False,False,False
cpp,20,1,False,False,False,False
cpp,20,2,True,True,False,False
cpp,20,3,True,True,True,True
cpp,79,1,True,True,True,True
cpp,117,1,True,True,False,False
cpp,117,2,False,False,False,False
cpp,117,3,False,False,False,False
cpp,117,4,False,False,False,False
cpp,117,5,False,False,False,False
cpp,326,1,False,False,False,False
cpp,326,2,False,False,False,False
cpp,326,3,False,False,False,False
cpp,326,4,False,False,False,False
cpp,326,5,False,False,False,False
cpp,918,1,True,True,True,True
cpp,113,1,True,False,True,False
cpp,113,2,True,False,True,False
cpp,113,3,True,False,True,False
cpp,113,4,True,False,True,False
cpp,113,5,True,False,True,False
cpp,327,1,True,False,False,False
cpp,327,2,True,False,False,False
cpp,327,3,True,False,False,False
cpp,327,4,True,False,False,False
cpp,327,5,True,False,False,False
cpp,22,1,True,False,True,False
cpp,22,2,True,False,True,False
cpp,22,3,True,True,False,False
cpp,22,4,True,False,True,False
cpp,22,5,True,False,True,False
cpp,326,1,True,False,False,False
cpp,326,2,True,False,False,False
cpp,326,3,True,False,False,False
cpp,326,4,True,False,False,False
cpp,326,5,True,False,False,False
cpp,78,1,True,True,True,True
cpp,732,1,True,True,True,True
cpp,760,1,True,True,True,True
cpp,918,1,True,True,True,True
cpp,327,1,True,True,True,True
cpp,400,1,True,True,True,True
cpp,22,1,True,True,False,False
cpp,22,2,True,True,False,False
cpp,22,3,True,True,False,False
cpp,22,4,True,True,False,False
cpp,22,5,True,True,False,False
cpp,1333,1,True,True,True,True
